method,scores,moves
MCTS,220.0,41
MCTS,150.0,23
MCTS,880.0,80
MCTS,130.0,25
MCTS,230.0,38
MCTS,130.0,26
MCTS,10.0,11
MCTS,140.0,23
MCTS,180.0,29
MCTS,590.0,56
MCTS,240.0,29
MCTS,250.0,29
MCTS,240.0,32
MCTS,20.0,17
MCTS,140.0,26
MCTS,230.0,23
MCTS,190.0,34
MCTS,30.0,17
MCTS,180.0,25
MCTS,360.0,26
MCTS,150.0,20
MCTS,540.0,44
MCTS,340.0,55
MCTS,200.0,28
MCTS,200.0,29
MCTS,110.0,22
MCTS,180.0,29
MCTS,290.0,23
MCTS,200.0,32
MCTS,660.0,35
MCTS,430.0,59
MCTS,190.0,23
MCTS,240.0,46
MCTS,280.0,40
MCTS,270.0,41
MCTS,240.0,29
MCTS,400.0,32
MCTS,180.0,29
MCTS,210.0,23
MCTS,310.0,38
MCTS,300.0,29
MCTS,140.0,26
MCTS,210.0,38
MCTS,160.0,23
MCTS,120.0,26
MCTS,310.0,29
MCTS,100.0,17
MCTS,220.0,26
MCTS,160.0,26
MCTS,140.0,17
MCTS,150.0,23
MCTS,440.0,38
MCTS,590.0,52
MCTS,140.0,26
MCTS,280.0,35
MCTS,120.0,26
MCTS,440.0,31
MCTS,450.0,32
MCTS,280.0,29
MCTS,760.0,52
MCTS,540.0,50
MCTS,150.0,17
MCTS,130.0,26
MCTS,540.0,53
MCTS,350.0,32
MCTS,100.0,17
MCTS,260.0,41
MCTS,150.0,17
MCTS,150.0,25
MCTS,290.0,32
MCTS,100.0,22
MCTS,110.0,26
MCTS,480.0,41
MCTS,280.0,41
MCTS,100.0,23
MCTS,440.0,47
MCTS,450.0,20
MCTS,210.0,17
MCTS,180.0,26
MCTS,100.0,17
MCTS,320.0,35
MCTS,230.0,38
MCTS,250.0,32
MCTS,320.0,44
MCTS,250.0,32
MCTS,70.0,20
MCTS,110.0,26
MCTS,110.0,22
MCTS,160.0,38
MCTS,240.0,32
MCTS,210.0,26
MCTS,260.0,32
MCTS,280.0,41
MCTS,400.0,35
MCTS,370.0,32
MCTS,120.0,23
MCTS,110.0,20
MCTS,230.0,29
MCTS,100.0,22
MCTS,320.0,34
MCTS,140.0,20
MCTS,390.0,38
MCTS,180.0,32
MCTS,230.0,28
MCTS,370.0,29
MCTS,570.0,43
MCTS,260.0,35
MCTS,550.0,50
MCTS,150.0,17
MCTS,350.0,37
MCTS,200.0,32
MCTS,440.0,41
MCTS,320.0,40
MCTS,280.0,46
MCTS,230.0,29
MCTS,150.0,26
MCTS,270.0,35
MCTS,160.0,31
MCTS,30.0,16
MCTS,460.0,32
MCTS,330.0,44
MCTS,200.0,26
MCTS,200.0,28
MCTS,100.0,17
MCTS,260.0,29
MCTS,260.0,23
MCTS,450.0,34
MCTS,470.0,47
MCTS,170.0,26
MCTS,260.0,35
MCTS,340.0,28
MCTS,190.0,32
MCTS,250.0,38
MCTS,490.0,58
MCTS,350.0,50
MCTS,310.0,32
MCTS,370.0,44
MCTS,160.0,32
MCTS,110.0,26
MCTS,140.0,25
MCTS,420.0,26
MCTS,140.0,23
MCTS,200.0,29
MCTS,110.0,22
MCTS,210.0,29
MCTS,120.0,29
MCTS,250.0,32
MCTS,170.0,29
MCTS,170.0,23
MCTS,290.0,35
MCTS,210.0,29
MCTS,310.0,32
MCTS,560.0,47
MCTS,160.0,31
MCTS,280.0,29
MCTS,310.0,35
MCTS,80.0,23
MCTS,260.0,41
MCTS,250.0,35
MCTS,270.0,35
MCTS,210.0,26
MCTS,390.0,32
MCTS,190.0,29
MCTS,190.0,32
MCTS,270.0,29
MCTS,110.0,23
MCTS,220.0,29
MCTS,160.0,26
MCTS,30.0,14
MCTS,210.0,35
MCTS,180.0,26
MCTS,350.0,26
MCTS,70.0,26
MCTS,200.0,29
MCTS,70.0,14
MCTS,60.0,17
MCTS,310.0,29
MCTS,350.0,32
MCTS,260.0,28
MCTS,170.0,26
MCTS,340.0,35
MCTS,60.0,14
MCTS,260.0,35
MCTS,220.0,34
MCTS,550.0,32
MCTS,100.0,20
MCTS,410.0,38
MCTS,60.0,20
MCTS,200.0,32
MCTS,480.0,47
MCTS,160.0,31
MCTS,610.0,65
MCTS,140.0,17
MCTS,290.0,34
MCTS,270.0,22
MCTS,390.0,32
MCTS,200.0,32
MCTS,40.0,17
MCTS,160.0,35
MCTS,160.0,23
MCTS,540.0,44
MCTS,420.0,56
MCTS,430.0,41
MCTS,180.0,32
MCTS,160.0,20
MCTS,140.0,31
MCTS,110.0,23
MCTS,140.0,23
MCTS,140.0,20
MCTS,110.0,20
MCTS,720.0,59
MCTS,200.0,26
MCTS,500.0,38
MCTS,230.0,26
MCTS,420.0,38
MCTS,400.0,38
MCTS,400.0,32
MCTS,210.0,26
MCTS,180.0,32
MCTS,100.0,20
MCTS,520.0,62
MCTS,140.0,20
MCTS,160.0,26
MCTS,90.0,23
MCTS,240.0,37
MCTS,280.0,26
MCTS,160.0,23
MCTS,340.0,23
MCTS,150.0,31
MCTS,520.0,29
MCTS,360.0,46
MCTS,160.0,26
MCTS,430.0,41
MCTS,280.0,32
MCTS,210.0,26
MCTS,280.0,29
MCTS,230.0,26
MCTS,470.0,50
MCTS,120.0,23
MCTS,410.0,31
MCTS,150.0,23
MCTS,10.0,14
MCTS,290.0,32
MCTS,240.0,31
MCTS,600.0,29
MCTS,350.0,26
MCTS,450.0,47
MCTS,90.0,26
MCTS,320.0,32
MCTS,240.0,26
MCTS,130.0,23
MCTS,920.0,41
MCTS,240.0,29
MCTS,260.0,26
MCTS,150.0,20
MCTS,300.0,35
MCTS,220.0,41
MCTS,170.0,29
MCTS,280.0,28
MCTS,120.0,23
MCTS,280.0,35
MCTS,140.0,20
MCTS,330.0,29
MCTS,170.0,29
MCTS,190.0,29
MCTS,160.0,29
MCTS,170.0,26
MCTS,200.0,38
MCTS,380.0,44
MCTS,410.0,35
MCTS,240.0,38
MCTS,30.0,14
MCTS,300.0,35
MCTS,160.0,29
MCTS,150.0,23
MCTS,250.0,26
MCTS,180.0,25
MCTS,340.0,32
MCTS,460.0,44
MCTS,350.0,46
MCTS,10.0,11
MCTS,250.0,32
MCTS,20.0,14
MCTS,220.0,29
MCTS,320.0,29
MCTS,220.0,34
MCTS,160.0,23
MCTS,210.0,25
MCTS,190.0,29
MCTS,440.0,44
MCTS,160.0,26
MCTS,270.0,41
MCTS,240.0,29
MCTS,450.0,41
MCTS,140.0,14
MCTS,200.0,28
MCTS,130.0,26
MCTS,320.0,47
MCTS,270.0,41
MCTS,440.0,32
MCTS,160.0,26
MCTS,350.0,32
MCTS,390.0,38
MCTS,250.0,35
MCTS,290.0,29
MCTS,640.0,35
MCTS,150.0,26
MCTS,140.0,20
MCTS,360.0,38
MCTS,220.0,35
MCTS,250.0,28
MCTS,110.0,22
MCTS,100.0,17
MCTS,480.0,41
MCTS,140.0,20
MCTS,400.0,26
MCTS,440.0,50
MCTS,140.0,26
MCTS,150.0,23
MCTS,100.0,26
MCTS,190.0,34
MCTS,210.0,23
MCTS,780.0,50
MCTS,150.0,32
MCTS,550.0,32
MCTS,190.0,32
MCTS,470.0,38
MCTS,330.0,40
MCTS,360.0,38
MCTS,240.0,38
MCTS,30.0,14
MCTS,210.0,25
MCTS,20.0,11
MCTS,170.0,26
MCTS,200.0,40
MCTS,10.0,11
MCTS,70.0,17
MCTS,200.0,32
MCTS,190.0,28
MCTS,50.0,19
MCTS,210.0,32
MCTS,220.0,26
MCTS,160.0,26
MCTS,140.0,29
MCTS,210.0,20
MCTS,350.0,26
MCTS,230.0,32
MCTS,240.0,35
MCTS,270.0,35
MCTS,210.0,23
MCTS,70.0,20
MCTS,150.0,20
MCTS,810.0,62
MCTS,510.0,56
MCTS,180.0,29
MCTS,480.0,50
MCTS,150.0,23
MCTS,160.0,28
MCTS,140.0,23
MCTS,140.0,29
MCTS,560.0,44
MCTS,160.0,23
MCTS,160.0,23
MCTS,100.0,17
MCTS,720.0,47
MCTS,160.0,34
MCTS,270.0,20
MCTS,570.0,59
MCTS,210.0,20
MCTS,690.0,38
MCTS,270.0,35
MCTS,480.0,62
MCTS,190.0,32
MCTS,340.0,35
MCTS,460.0,29
MCTS,450.0,29
MCTS,230.0,28
MCTS,600.0,47
MCTS,450.0,41
MCTS,290.0,38
MCTS,620.0,56
MCTS,60.0,17
MCTS,60.0,17
MCTS,240.0,25
MCTS,230.0,29
MCTS,150.0,26
MCTS,630.0,53
MCTS,420.0,43
MCTS,430.0,40
MCTS,430.0,38
MCTS,240.0,29
MCTS,190.0,41
MCTS,310.0,44
MCTS,270.0,41
MCTS,420.0,23
MCTS,210.0,23
MCTS,300.0,41
MCTS,130.0,26
MCTS,300.0,41
MCTS,160.0,32
MCTS,260.0,32
MCTS,140.0,26
MCTS,490.0,35
MCTS,200.0,35
MCTS,260.0,32
MCTS,170.0,25
MCTS,490.0,35
MCTS,460.0,41
MCTS,170.0,35
MCTS,600.0,40
MCTS,390.0,47
MCTS,220.0,26
MCTS,280.0,38
MCTS,470.0,53
MCTS,210.0,26
MCTS,270.0,32
MCTS,520.0,47
MCTS,70.0,20
MCTS,240.0,26
MCTS,140.0,20
MCTS,220.0,26
MCTS,160.0,26
MCTS,150.0,20
MCTS,240.0,43
MCTS,360.0,32
MCTS,460.0,32
MCTS,270.0,23
MCTS,420.0,44
MCTS,240.0,29
MCTS,270.0,35
MCTS,230.0,32
MCTS,150.0,20
MCTS,280.0,41
MCTS,300.0,29
MCTS,140.0,19
MCTS,210.0,23
MCTS,60.0,19
MCTS,260.0,29
MCTS,160.0,31
MCTS,200.0,35
MCTS,220.0,29
MCTS,220.0,41
MCTS,750.0,61
MCTS,200.0,26
MCTS,240.0,31
MCTS,220.0,29
MCTS,130.0,25
MCTS,230.0,26
MCTS,80.0,26
MCTS,390.0,32
MCTS,170.0,26
MCTS,590.0,38
MCTS,390.0,35
MCTS,220.0,22
MCTS,150.0,26
MCTS,240.0,35
MCTS,200.0,23
MCTS,350.0,26
MCTS,290.0,35
MCTS,260.0,20
MCTS,210.0,29
MCTS,420.0,53
MCTS,150.0,32
MCTS,310.0,38
MCTS,460.0,50
MCTS,140.0,26
MCTS,240.0,38
MCTS,370.0,53
MCTS,330.0,50
MCTS,310.0,38
MCTS,150.0,23
MCTS,100.0,20
MCTS,180.0,32
MCTS,220.0,20
MCTS,210.0,32
MCTS,250.0,29
MCTS,340.0,53
MCTS,770.0,59
MCTS,430.0,53
MCTS,290.0,29
MCTS,150.0,20
MCTS,360.0,44
MCTS,430.0,29
MCTS,160.0,29
MCTS,220.0,32
MCTS,220.0,23
MCTS,160.0,26
MCTS,310.0,20
MCTS,140.0,20
MCTS,330.0,38
