method,scores,moves
random,10.0,8
random,100.0,17
random,10.0,11
random,40.0,19
random,10.0,13
random,0.0,8
random,30.0,14
random,30.0,17
random,140.0,26
random,30.0,14
random,140.0,20
random,150.0,23
random,30.0,11
random,0.0,8
random,0.0,11
random,70.0,23
random,450.0,38
random,60.0,16
random,10.0,11
random,90.0,20
random,340.0,44
random,30.0,14
random,10.0,8
random,50.0,14
random,150.0,26
random,100.0,29
random,0.0,11
random,0.0,11
random,30.0,14
random,100.0,20
random,220.0,23
random,150.0,20
random,0.0,10
random,210.0,20
random,30.0,17
random,20.0,14
random,560.0,35
random,150.0,20
random,0.0,8
random,50.0,17
random,30.0,11
random,60.0,17
random,20.0,14
random,10.0,11
random,150.0,23
random,30.0,17
random,200.0,32
random,20.0,14
random,100.0,14
random,80.0,17
random,0.0,8
random,170.0,26
random,0.0,13
random,0.0,13
random,30.0,13
random,20.0,14
random,20.0,17
random,100.0,17
random,20.0,14
random,100.0,20
random,0.0,8
random,0.0,8
random,280.0,23
random,0.0,11
random,40.0,17
random,0.0,8
random,30.0,17
random,30.0,14
random,190.0,20
random,30.0,17
random,140.0,17
random,30.0,20
random,0.0,11
random,50.0,14
random,0.0,11
random,30.0,17
random,50.0,17
random,10.0,11
random,240.0,32
random,110.0,20
random,150.0,20
random,10.0,10
random,0.0,8
random,10.0,11
random,20.0,14
random,10.0,14
random,120.0,26
random,0.0,11
random,30.0,17
random,70.0,17
random,60.0,19
random,10.0,11
random,0.0,8
random,20.0,14
random,30.0,17
random,30.0,17
random,20.0,13
random,30.0,17
random,0.0,8
random,30.0,14
random,70.0,20
random,270.0,32
random,90.0,32
random,20.0,14
random,30.0,14
random,90.0,17
random,70.0,19
random,10.0,14
random,30.0,14
random,10.0,11
random,160.0,35
random,0.0,8
random,10.0,14
random,10.0,14
random,90.0,19
random,30.0,19
random,20.0,14
random,0.0,11
random,0.0,5
random,20.0,14
random,0.0,11
random,20.0,14
random,220.0,26
random,0.0,8
random,60.0,20
random,140.0,23
random,90.0,17
random,60.0,17
random,150.0,23
random,760.0,53
random,10.0,11
random,40.0,14
random,70.0,20
random,100.0,23
random,10.0,11
random,0.0,11
random,0.0,8
random,270.0,20
random,150.0,20
random,0.0,11
random,60.0,19
random,0.0,8
random,60.0,17
random,30.0,11
random,150.0,20
random,60.0,17
random,60.0,20
random,10.0,11
random,10.0,14
random,80.0,20
